Activity Type,Date,Favorite,Title,Distance,Calories,Time,Avg HR,Max HR,Aerobic TE,Avg Run Cadence,Max Run Cadence,Avg Pace,Best Pace,Elev Gain,Elev Loss,Avg Stride Length,Avg Vertical Ratio,Avg Vertical Oscillation,Training Stress Score®,Grit,Flow,Climb Time,Bottom Time,Min Temp,Surface Interval,Decompression,Best Lap Time,Number of Laps,Max Temp
Running,2020-08-20 06:42:23,false,"New York Running","2.01","205","00:18:50","164","184","3.2","172","180","9:23","8:23","22","33","1.00","0.0","0.0","0.0","0.0","0.0","18:50","0:00","0.0","0:00","No","00:04.27","3","0.0"
Running,2020-08-18 06:40:07,false,"New York Running","2.01","202","00:18:55","162","176","3.2","170","180","9:24","8:33","15","33","1.01","0.0","0.0","0.0","0.0","0.0","18:55","0:00","0.0","0:00","No","00:06.90","3","0.0"
Running,2020-08-15 06:45:47,false,"New York Running","2.01","209","00:19:17","164","172","3.2","168","178","9:37","9:01","8","35","1.00","0.0","0.0","0.0","0.0","0.0","19:17","0:00","0.0","0:00","No","00:02.09","3","0.0"
Running,2020-08-13 06:49:09,false,"New York Running","1.85","188","00:18:00","159","168","2.9","167","176","9:43","8:44","30","35","0.99","0.0","0.0","0.0","0.0","0.0","18:00","0:00","0.0","0:00","No","08:21.99","2","0.0"
Running,2020-08-03 06:45:16,false,"New York Running","3.01","300","00:27:51","162","182","3.4","171","181","9:16","8:21","50","59","1.01","0.0","0.0","0.0","0.0","0.0","27:51","0:00","0.0","0:00","No","00:03.61","4","0.0"
Running,2020-07-31 09:05:51,false,"New York Running","3.00","316","00:28:10","166","182","3.5","169","182","9:23","8:20","35","58","1.01","0.0","0.0","0.0","0.0","0.0","28:10","0:00","0.0","0:00","No","00:01.41","4","0.0"
Running,2020-07-29 06:49:33,false,"New York Running","2.50","249","00:23:26","159","176","3.1","170","178","9:23","8:36","531","486","1.01","0.0","0.0","0.0","0.0","0.0","23:26","0:00","0.0","0:00","No","04:41.86","3","0.0"
Running,2020-07-27 06:37:48,false,"New York Running","2.50","252","00:23:30","160","178","3.2","169","178","9:24","8:46","518","463","1.01","0.0","0.0","0.0","0.0","0.0","23:30","0:00","0.0","0:00","No","04:40.88","3","0.0"
Running,2020-07-22 07:04:22,false,"New York Running","2.01","201","00:19:22","155","181","2.8","169","176","9:39","8:44","33","41","0.99","0.0","0.0","0.0","0.0","0.0","19:22","0:00","0.0","0:00","No","00:03.65","3","0.0"
Running,2020-07-20 05:50:02,false,"New York Running","3.01","314","00:28:41","163","183","3.4","167","176","9:33","8:41","46","49","1.01","0.0","0.0","0.0","0.0","0.0","28:41","0:00","0.0","0:00","No","00:03.29","4","0.0"
Running,2020-07-17 07:55:34,false,"New York Running","3.01","308","00:27:52","163","174","3.4","169","179","9:16","8:32","55","60","1.03","0.0","0.0","0.0","0.0","0.0","27:52","0:00","0.0","0:00","No","00:02.71","4","0.0"
